"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка, что есть возможность выполнить задание","4054","testTaskCompleted()","","2025-10-08","passed","2025-10-08","","tests.ListTasksScreenTest","tests.ListTasksScreenTest","testTaskCompleted"
"Проверка отображение корреткного названия на карточке новой категории на экране категорий","187","testError()","","2025-10-08","failed","2025-10-08","","tests.CategoriesScreenTest","tests.CategoriesScreenTest","testError"
"Проверка, что после перехода на экран категорий корректно отображаются все основные элементы интерфейса","2775","testСategoriesTasksScreenElements()","","2025-10-08","passed","2025-10-08","","tests.CategoriesScreenTest","tests.CategoriesScreenTest","testСategoriesTasksScreenElements"
"Проверка, что отображается правильный текст после редактирования задания","61","testError()","","2025-10-08","failed","2025-10-08","","tests.EditTaskScreenTest","tests.EditTaskScreenTest","testError"
"Проверка, что пользователь может создать новую категорию и она корректно отображается в списке","5974","testCreateCategory()","","2025-10-08","passed","2025-10-08","","tests.CategoriesScreenTest","tests.CategoriesScreenTest","testCreateCategory"
"Проверка, что можно изменить данные существующего задания и изменения сохраняются корректно","5985","testEditTask()","","2025-10-08","passed","2025-10-08","","tests.EditTaskScreenTest","tests.EditTaskScreenTest","testEditTask"
"Проверка, что после запуска приложения корректно отображаются все элементы на экране списка заданий","1992","testListTasksScreenElements()","","2025-10-08","passed","2025-10-08","","tests.ListTasksScreenTest","tests.ListTasksScreenTest","testListTasksScreenElements"
"Проверка создания нового задания","8683","testCreateTask()","","2025-10-08","passed","2025-10-08","","tests.ListTasksScreenTest","tests.ListTasksScreenTest","testCreateTask"
"Проверка, что после создания задания открывается экран редактирования и на нём присутствуют все элементы интерфейса","13230","testEditScreenElements()","","2025-10-08","passed","2025-10-08","","tests.EditTaskScreenTest","tests.EditTaskScreenTest","testEditScreenElements"
"Проверка, что после выполнения задания список обновляется и отображает только актуальные задачи","3073","testError()","","2025-10-08","failed","2025-10-08","","tests.ListTasksScreenTest","tests.ListTasksScreenTest","testError"
